# file,G2,Na,Diversity,t1,t2,t3
../../aplicacao/cml/output-4.0/it0.csv,0.0,0.0,0.0,0.000338963,0.121738667,3.2889e-05
../../aplicacao/cml/output-4.0/it1.csv,0.0,0.0,0.0,0.000105629,0.154177629,3.2592e-05
../../aplicacao/cml/output-4.0/it2.csv,0.0,0.0,0.0,0.000106518,0.187210518,3.2592e-05
../../aplicacao/cml/output-4.0/it3.csv,0.0,0.0,0.0,0.00010563,0.196178963,3.3037e-05
../../aplicacao/cml/output-4.0/it4.csv,0.0,0.0,0.0,0.000105926,0.19798237,3.274e-05
../../aplicacao/cml/output-4.0/it5.csv,0.0,0.0,0.0,0.000105926,0.197624445,3.2592e-05
../../aplicacao/cml/output-4.0/it6.csv,0.0,0.0,0.0,0.000106518,0.196723111,3.2592e-05
../../aplicacao/cml/output-4.0/it7.csv,0.0,0.0,0.0,0.000105926,0.196376593,3.2593e-05
../../aplicacao/cml/output-4.0/it8.csv,0.0,0.0,0.0,0.000105482,0.196219556,3.2888e-05
../../aplicacao/cml/output-4.0/it9.csv,0.0,0.0,0.0,0.000106222,0.196279112,3.2593e-05
../../aplicacao/cml/output-4.0/it10.csv,0.0,0.0,0.0,0.000105334,0.196265186,3.2592e-05
../../aplicacao/cml/output-4.0/it11.csv,0.0,0.0,0.0,0.000105037,0.196143259,3.3037e-05
../../aplicacao/cml/output-4.0/it12.csv,0.0,0.0,0.0,0.000106667,0.196394667,3.2889e-05
../../aplicacao/cml/output-4.0/it13.csv,0.0,0.0,0.0,0.000105926,0.196118963,3.2592e-05
../../aplicacao/cml/output-4.0/it14.csv,0.0,0.0,0.0,0.000106074,0.196139704,3.2889e-05
../../aplicacao/cml/output-4.0/it15.csv,0.0,0.0,0.0,0.00010563,0.195884593,3.2889e-05
../../aplicacao/cml/output-4.0/it16.csv,0.0,0.0,0.0,0.00010563,0.196014519,3.274e-05
../../aplicacao/cml/output-4.0/it17.csv,0.0,0.0,0.0,0.000106814,0.195970814,3.2593e-05
../../aplicacao/cml/output-4.0/it18.csv,0.0,0.0,0.0,0.000106222,0.196083407,3.2889e-05
../../aplicacao/cml/output-4.0/it19.csv,0.0,0.0,0.0,0.000104592,0.19605363,3.2741e-05
../../aplicacao/cml/output-4.0/it20.csv,0.0,0.0,0.0,0.000106222,0.195975111,3.2741e-05
../../aplicacao/cml/output-4.0/it21.csv,0.0,0.0,0.0,0.000106519,0.196161482,3.3037e-05
../../aplicacao/cml/output-4.0/it22.csv,0.0,0.0,0.0,0.000106963,0.196128148,3.2741e-05
../../aplicacao/cml/output-4.0/it23.csv,0.0,0.0,0.0,0.000105482,0.196180444,3.2889e-05
../../aplicacao/cml/output-4.0/it24.csv,0.0,0.0,0.0,0.000107111,0.196081482,3.2593e-05
../../aplicacao/cml/output-4.0/it25.csv,0.0,0.0,0.0,0.000106666,0.196140889,3.2445e-05
../../aplicacao/cml/output-4.0/it26.csv,0.0,0.0,0.0,0.000105778,0.196108741,3.2889e-05
../../aplicacao/cml/output-4.0/it27.csv,0.0,0.0,0.0,0.000105481,0.196012889,3.2889e-05
../../aplicacao/cml/output-4.0/it28.csv,0.0,0.0,0.0,0.000107408,0.196101037,3.3333e-05
../../aplicacao/cml/output-4.0/it29.csv,0.0,0.0,0.0,0.000105926,0.196075111,3.274e-05
../../aplicacao/cml/output-4.0/it30.csv,0.0,0.0,0.0,0.000106667,0.196153629,3.2296e-05
../../aplicacao/cml/output-4.0/it31.csv,0.0,0.0,0.0,0.000106518,0.196102963,3.2593e-05
../../aplicacao/cml/output-4.0/it32.csv,0.0,0.0,0.0,0.00010637,0.196050075,3.274e-05
../../aplicacao/cml/output-4.0/it33.csv,0.0,0.0,0.0,0.000106222,0.19616637,3.2741e-05
../../aplicacao/cml/output-4.0/it34.csv,0.0,0.0,0.0,0.000106963,0.196057629,3.2593e-05
../../aplicacao/cml/output-4.0/it35.csv,0.0,0.0,0.0,0.000106222,0.196150074,3.3037e-05
../../aplicacao/cml/output-4.0/it36.csv,0.0,0.0,0.0,0.000106519,0.196131407,3.3185e-05
../../aplicacao/cml/output-4.0/it37.csv,0.0,0.0,0.0,0.000106667,0.196110814,3.2741e-05
